/ID	Name	Year Published	Min Players	Max Players	Play Time	Min Age	Users Rated	Rating Average	BGG Rank	Complexity Average	Owned Users	Mechanics	Domains
226176	Fallout: Wasteland Warfare	2018	1	8	240	14	279	7.92	3839	3.92	1060	Cooperative Game. Dice Rolling. Player Elimination. Simulation	Thematic Games. Wargames
548	Buck Rogers: Battle for the 25th Century Game	1988	2	6	120	10	796	6.44	3840	2.68	1549	Area Movement. Dice Rolling. Minimap Resolution. Multiple Maps. Point to Point Movement. Ratio / Combat Results Table	Wargames
147707	Mush! Mush!: Snow Tails 2	2013	2	8	30	12	360	6.97	3841	1.93	556	Catch the Leader. Hand Management. Modular Board. Race	Family Games
6817	Schafkopf	1780	4	4	30	7	276	7.53	3842	2.61	375	Auction/Bidding. Team-Based Game. Trick-taking	Abstract Games. Family Games
57998	Boe Igrzysko	2010	3	4	120	12	264	7.65	3843	3.57	241	Area Majority / Influence. Auction/Bidding. Dice Rolling. Voting	Strategy Games
145642	The Cards of Cthulhu	2014	1	4	90	0	487	6.81	3844	1.83	1124	Cooperative Game. Dice Rolling	Thematic Games
3208	Dragonland	2002	2	4	45	9	920	6.29	3845	1.84	1508	Set Collection	Family Games
124622	In Magnificent Style: Pickett's Charge at Gettysburg	2012	1	1	60	13	275	7.43	3846	1.88	651	Chit-Pull System. Dice Rolling. Events. Grid Movement. Push Your Luck. Simulation. Solo / Solitaire Game. Square Grid	Wargames
8515	Hybrid	2003	2	2	120	12	322	7.41	3847	3.16	863	Dice Rolling. Modular Board. Role Playing	Thematic Games
145888	CapCom Street Fighter Deck-Building Game	2014	2	5	45	15	583	6.65	3848	2.10	1129	Deck Bag and Pool Building	Customizable Games
3895	Silent Death	1990	2	8	120	10	395	6.96	3849	2.75	706	Dice Rolling. Hexagon Grid. Simulation. Variable Player Powers	Wargames
256876	Football Highlights 2052	2019	1	4	60	9	282	7.35	3850	2.44	798	Card Drafting. Deck Bag and Pool Building. Hand Management. Solo / Solitaire Game	
165595	JamSumo	2014	2	4	30	6	285	7.32	3851	1.33	353	Flicking	
149361	Hapsburg Eclipse	2014	1	1	30	13	319	7.26	3852	2.21	807	Action Points. Campaign / Battle Card Driven. Dice Rolling. Point to Point Movement. Simulation. Solo / Solitaire Game	Wargames
9829	Runebound	2004	2	6	120	12	1515	6.19	3853	2.53	1655	Dice Rolling	Thematic Games
256705	Seasons of Rice	2018	2	2	20	8	314	7.24	3854	1.63	1153	Card Drafting. Tile Placement. Variable Player Powers	
248	Blood Royale	1987	3	5	240	12	628	6.54	3855	3.32	1174	Area Movement. Events. Paper-and-Pencil. Pick-up and Deliver. Role Playing. Set Collection. Simulation	Thematic Games
158130	Tanto Cuore: Oktoberfest	2016	2	4	45	13	304	7.34	3856	2.29	1122	Card Drafting. Deck Bag and Pool Building. Hand Management. Set Collection	
42142	Doctor Who: Solitaire Story Game	2009	1	1	45	11	282	7.96	3857	2.64	510	Dice Rolling. Storytelling	Thematic Games
175222	Lost Legacy: Third Chronicle - Sacred Grail & Staff of Dragons	2015	2	6	10	14	403	6.86	3858	1.47	1317	Hand Management. Memory. Player Elimination	
309110	Food Chain Island	2020	1	1	15	8	323	7.27	3859	1.29	858	Chaining. Network and Route Building	
302	Forum Romanum	1988	2	6	45	10	448	6.76	3860	2.38	666	Area Majority / Influence	Abstract Games
192185	Matryoshka	2016	3	5	20	8	555	6.65	3861	1.83	1158	Hand Management. Set Collection. Trading	Family Games
234877	Sebastian Fitzek Safehouse	2017	2	4	30	12	571	6.55	3862	2.06	1072	Action Queue. Cooperative Game. Set Collection	
23995	No Peace Without Spain! The War of the Spanish Succession 1702-1713	2011	2	2	240	12	257	7.67	3863	2.75	653	Campaign / Battle Card Driven. Point to Point Movement	Wargames
72420	Braggart	2010	2	6	30	10	866	6.35	3864	1.23	1311	Card Drafting. Hand Management. Set Collection. Storytelling. Take That	Family Games. Party Games
29355	Wrfel Bingo	2007	1	5	30	7	716	6.38	3865	1.26	1095	Dice Rolling	Family Games
192240	Control	2016	2	4	15	10	705	6.53	3866	1.52	1693	Hand Management. Take That	
276497	La Via	2019	2	5	45	8	383	7.10	3867	2.33	772	Hand Management. Set Collection	
163056	Muse	2014	2	4	30	8	407	6.83	3868	1.14	798	Hand Management. Pattern Building. Set Collection	Family Games
222	Space Beans	1999	2	6	40	10	1424	6.09	3869	1.39	2437	Card Drafting. Set Collection	Family Games
197439	The Fog of War	2016	2	2	120	10	299	7.28	3870	3	843	Advantage Token. Area Movement. Betting and Bluffing. Hand Management. Secret Unit Deployment. Sudden Death Ending. Turn Order: Stat-Based	Wargames
71973	Crows	2010	2	4	45	10	730	6.39	3871	1.90	1342	Modular Board. Tile Placement	Abstract Games. Family Games
1376	Serengeti	2001	3	6	30	8	1123	6.19	3872	1.66	1489	Auction/Bidding. Set Collection	Family Games
303551	Polis	2020	2	2	120	12	169	8.58	3873	3.84	494	Area Majority / Influence. Area Movement. Dice Rolling. Simulation. Variable Phase Order. Victory Points as a Resource	Wargames
39019	Nothing Gained But Glory	2010	2	2	300	0	220	7.79	3874	3.68	992	Dice Rolling. Hexagon Grid. Movement Points. Simulation	Wargames
130827	Rumble in the Dungeon	2012	3	6	20	8	776	6.35	3875	1.12	1456	Modular Board. Pick-up and Deliver. Point to Point Movement. Secret Unit Deployment	Party Games
1143	Warrior Knights	1985	2	6	180	10	559	6.65	3876	3.25	1201	Area Majority / Influence. Voting	Strategy Games. Thematic Games. Wargames
34227	Blox	2008	2	4	45	10	552	6.57	3877	2.08	691	Hand Management	Abstract Games. Family Games
